ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
58	7273	2	2	0.000000	15.300839	13.985013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
59	11	1	1	0.000000	12.454545	12.454545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
60	2	2	2	0.000000	31.500000	29.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
61	16	1	1	0.000000	13.062500	13.062500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
62	572	2	2	0.000000	14.047203	13.038462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
63	57	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
64	1	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
65	717	1	1	0.000000	13.047420	12.193863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
66	5739	2	1	0.000000	16.704130	15.194459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
67	221	1	2	0.000000	16.384615	15.710407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
68	50	1	1	0.000000	9.460000	9.460000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
69	98	1	1	0.000000	19.285714	17.928571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
70	13	2	2	0.000000	30.769231	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
71	6981	2	2	0.000000	15.797880	14.373442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
72	6	1	1	0.000000	14.000000	12.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
73	4383	2	1	0.000000	16.173169	14.703399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
74	1164	1	2	0.000000	18.439003	17.221649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
75	49	1	1	0.000000	16.163265	14.918367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
76	34	1	1	0.000000	22.735294	20.235294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
77	14	1	2	0.000000	21.785714	21.785714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
78	29	1	1	0.000000	26.413793	9.448276	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
79	24	1	1	0.000000	11.000000	10.125000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
80	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
81	29	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
